Unnamed: 0,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
5364,5364,26/1/2021,11:1:49:319,276.41,31.47,422.62,0.5529999999999999,942.047,420.89290859217084,276.41
5365,5365,26/1/2021,11:1:49:428,276.91,31.37,424.72,0.5529999999999999,942.047,420.94237710746177,276.41
5366,5366,26/1/2021,11:1:49:537,276.91,31.43,422.62,0.5529999999999999,942.047,420.9937710799297,276.41
5367,5367,26/1/2021,11:1:49:647,277.41,31.41,407.72,0.5529999999999999,942.047,421.0469729192342,277.41
5368,5368,26/1/2021,11:1:49:756,276.91,31.41,442.12,0.5529999999999999,942.047,421.1018644970224,277.41
5369,5369,26/1/2021,11:1:49:897,276.41,31.43,424.12,0.5529999999999999,942.047,421.15832932453657,276.41
5370,5370,26/1/2021,11:1:49:975,276.41,31.51,423.52,0.5539999999999999,942.047,421.2162592813343,276.91
5371,5371,26/1/2021,11:1:50:85,276.41,31.35,423.82,0.5539999999999999,942.047,421.2755557203957,276.41
5372,5372,26/1/2021,11:1:50:194,276.91,31.35,424.12,0.5529999999999999,942.047,421.3361256299978,277.81
5373,5373,26/1/2021,11:1:50:303,275.91,31.43,424.72,0.5529999999999999,942.047,421.39787995698265,276.91
5374,5374,26/1/2021,11:1:50:413,276.41,31.41,426.02,0.5529999999999999,942.047,421.4607340915613,277.41
5375,5375,26/1/2021,11:1:50:522,276.41,31.43,403.42,0.5529999999999999,942.047,421.5246066119953,276.91
5376,5376,26/1/2021,11:1:50:647,276.91,31.35,415.02,0.5529999999999999,942.047,421.58941273704653,277.81
5377,5377,26/1/2021,11:1:50:741,276.41,31.37,403.12,0.5529999999999999,942.047,421.6550552260801,276.91
5378,5378,26/1/2021,11:1:50:897,275.91,31.43,412.22,0.5529999999999999,942.047,421.7214188016617,276.91
5379,5379,26/1/2021,11:1:50:960,275.41,31.41,401.92,0.5529999999999999,942.047,421.78836801922006,276.91
